Name,Text Length,Language Count,Languages,Categories in common,Match Score,
Joan_Roughgarden,677,6,en de es fr ko pt,Category:Theoretical_biologists Category:American_ecologists Category:Guggenheim_Fellows Category:Mathematical_ecologists,2.693615325,
Simon_A._Levin,593,9,en ar arz ca de he ja pl ru,,,
,,,,,,
Chiya_Fujino,100,7,en ast es eu fr it ja,Category:20th-century_Japanese_short_story_writers Category:Writers_from_Fukuoka_Prefecture Category:21st-century_Japanese_novelists Category:20th-century_Japanese_novelists Category:21st-century_Japanese_short_story_writers,6.363714821,
Otsuichi,239,7,en ar fr ja ko tr zh,,,
,,,,,,
Martine_Rothblatt,2315,5,en fr pa vi zh,Category:20th-century_American_businesspeople Category:Businesspeople_from_Los_Angeles Category:UCLA_School_of_Law_alumni Category:21st-century_American_businesspeople Category:American_people_of_Ukrainian-Jewish_descent,2.131275258,
Stewart_Resnick,1593,2,en fa,,,
,,,,,,
Petra_De_Sutter,439,6,en de eu fr nl pl,Category:21st-century_Belgian_politicians Category:MEPs_for_Belgium_2019–2024,3.226709636,
Kris_Peeters,506,14,en ar bg ca de eo fr it li mg nl no pl uk,,,
,,,,,,
Wendy_Carlos,3604,27,en ar azb ca de eo es fa fi fr gl he it ja nl no pl pt ro ru sh simple sl sq sv uk zh,Category:20th-century_American_composers Category:21st-century_American_composers Category:21st-century_classical_composers Category:American_classical_composers Category:20th-century_classical_composers Category:American_classical_musicians,2.653554145,
Robert_Moran,227,7,en ar de es fi fr ja,,,
,,,,,,
Kim_Petras,1648,22,en cs de el eo es eu fa fi fr he hu it ko nl pl pt ru sr sv tr zh,Category:German_expatriates_in_the_United_States Category:People_from_Cologne Category:21st-century_German_singers,3.007258035,
Haddaway,664,32,en arz azb bg cs da de eo es fa fi fr gl he hu it ja ko lmo nl no pl pt rm ro ru simple sk sr sv tr uk,,,
,,,,,,
Raewyn_Connell,713,15,en ca de es eu fa fr he ja ko no pt sv tr uk,Category:Social_constructionism Category:Gender_studies_academics Category:Men_and_masculinities_scholars,3.563619526,
Michael_Messner,2996,3,en de it,,,
,,,,,,
Danica_Roem,2032,14,en ast cs da de es eu fa fr nl pt simple sk zh,Category:21st-century_American_politicians Category:Journalists_from_Virginia Category:Virginia_Democrats Category:21st-century_American_journalists,2.284892074,
Chris_Hurst_(Virginia_politician),416,1,en,,,
,,,,,,
Sandy_Stone_(artist),2581,6,en ar de fa fr ga,Category:Jewish_artists Category:Jewish_American_academics,1.426879045,
Martin_Lemelman,393,1,en,,,
,,,,,,
Philippa_York,4896,17,en ar ast ca da de es eu fa fr gl it nl no pl ru sv,Category:Vuelta_a_España_cyclists Category:British_Tour_de_France_stage_winners Category:British_Giro_d'Italia_stage_winners Category:British_Vuelta_a_España_stage_winners Category:British_cycling_road_race_champions Category:Giro_d'Italia_cyclists Category:Tour_de_France_cyclists,5.544127353,
David_Millar,3694,23,en ar ca cy da de es eu fa fi fr it ja ko lb lv nl no pl pt ru sco sv,,,
,,,,,,
Paula_Denyer,2098,7,en de eo fr it nl pl,Category:Murder_in_Melbourne Category:People_convicted_of_murder_by_Victoria_(Australia) Category:Australian_serial_killers Category:Criminals_from_Melbourne Category:Australian_people_convicted_of_murder Category:Australian_prisoners_sentenced_to_multiple_life_sentences Category:Prisoners_sentenced_to_life_imprisonment_by_Victoria_(Australia),11.32390519,
Paul_Steven_Haigh,337,1,en,,,
,,,,,,
Julia_Kaye,377,1,en,"Category:American_illustrators Category:Artists_from_San_Jose,_California",2.496034849,2.496034849
Scott_Campbell_(artist),153,2,en ar,,,
,,,,,,
Zackary_Drucker,937,4,en ca eu fa,Category:American_performance_artists Category:Performance_art_in_Los_Angeles Category:American_contemporary_artists Category:California_Institute_of_the_Arts_alumni,3.996952757,
John_Duncan_(artist),2634,4,en ar it sv,,,
,,,,,,
Andrea_Marra,357,2,en pa,Category:American_adoptees Category:Korean_adoptees,2.465140265,
Paull_Shin,304,2,en ko,,,
,,,,,,
Dana_Simpson,1091,4,en ar de fr,Category:American_comic_strip_cartoonists Category:1977_births Category:American_webcomic_creators,2.410390059,
Rodney_Caston,295,2,en de,,,
,,,,,,
Miss_Major_Griffin-Gracy,1526,4,en fr pa tr,Category:People_from_Chicago Category:Activists_from_Illinois,2.505520758,
Aaron_Dixon,1557,2,en ar,,,
,,,,,,
Christina_Kahrl,917,1,en,Category:Writers_from_Chicago Category:Sportswriters_from_Illinois,2.609845241,
Mike_Downey,422,2,en ar,,,
,,,,,,
Raquel_Willis,428,4,en ar pa pt,Category:BuzzFeed_people Category:21st-century_American_writers,1.740031893,
McKay_Coppins,317,1,en,,,
,,,,,,
Cecilia_Chung,617,4,en eu fr pa,Category:HIV/AIDS_activists Category:People_with_HIV/AIDS,2.386046299,
Gideon_Byamugisha,1048,3,en no sw,,,
,,,,,,
Anohni,3616,20,en azb ca cs da es fa fi fr he id it ko nl no pt ru sh sv tr,Category:Musicians_from_Sussex Category:English_pop_singers,1.996983389,
Suggs_(singer),3347,10,en ca de fr it nl pl ru sl sv,,,